S.No.,Name of Project,Department,Principal Investigator/ Investigator/ Mentor /Main Contact Person,Co-PI/Other Investigator etc,Funding Agency,From,To,"Amount, Rs.",Status
46,Third party quality control work at IIM Amritsar,EE,"Prof. Dilbag Singh, Dr. Kailash Chand Sharma, Dr. Dinesh Shukla , Dr. Raman Bedi",-,CPWD,2021,25-Dec,1573000,Ongoing
47,Design and Development of Solar-Wind-Based Intelligent Energy-Efficient Autonomous Micro-Grid System Considering Hybrid Attacks for Electric Mobility and Rural Electrification,ICE,Dr. Anil Kumar Yadav,-,ANRF,1-Jun,28-Jun,4434480,Ongoing
48,Repository of Brain Computer Interfaces (BCI) - Use Cases,ICE,Dr. Rajesh Singla,,BIS,25-Feb,25-Sep,242000,Ongoing
49,Autonomous Agriculture Field Mobile Robot Navigation,ICE,Dr Afzal Sikander,Prof. K S Nagla & Dr Karan jain,iHUB Awadh under DST,10-Mar,9-Mar-26,600000,Ongoing
50,Study of Service Quality provided by Public Service Organizations.,IPE,Dr. Anish Sachdeva,Dr Narendra Kumar and Prof R G Garg,BIS,25-Feb,25-Aug,910000,Ongoing
51,Enhancing corrosion resistance and wear resistance of SS 316L implants with cold spray coating of Ti-HEA composite,IPE,Sharath Kumar (Applicant),"Dr Rakesh Kumar, Dr Rajeev Verma (Project Guide(s))","R&D Grant-in-aid, The Institution of Engineers India (IEI)",24-Jun,26-Jun,100000,Ongoing
52,Mechanical and Manufacturing Engneering & Robitics,IPE,Dr. Anish Sachdeva (Mentor),Dr. Harish Kumar Nirala,SERB-ANRF-TARE,24-Feb,27-Jun,1830000,Ongoing
53,"Incremental Sheet Forming: Experimental and FEA,",IPE,Dr. Anish Sachdeva (Mentor),Dr. Harish Kumar Nirala (Rajiv Gandhi Government Engineering College - HP),SERB-ANRF-TARE,24-Feb,27-Feb,1830000,Ongoing
54,Development and analysis of magnetically-assisted variable flow abrasive-based finishing,IPE,Dr. Aviral Misra,Dr. Vishal Santosh Sharma,DST-SERB,23-Mar,26-Mar,3582246,Ongoing
55,Development of Automated Deposition Head for 3DPrinting of Continuous Fibre Reinforced High-Performance Polymer Composites,IPE,Dr.Narendra Kumar,Dr. Ghnsyam Neje and Dr. Ravi Partap Singh,DST-SERB-CRG,23-Mar,26-Mar,5412264,Ongoing
56,Design and Development of prototype UV assisted 3D printing machine,IPE,Dr. Narendra Kumar,Dr. Ravi Pratap,ISRO,22-Dec,25-Jun,1888500,Ongoing
57,Investigating the intricacies of gractal concerns,MC,Dr. Saurabh kumar katiyar,,ANRF,25-Jun,28-Jun,2766480,Ongoing
58,Conversion of Higher Order Interative Methods in Banach Spaces,MC,Dr Sukhjit Singh,,IRG ANRF,25-Mar,28-Mar,3075960,Ongoing
59,On combinatorial structures realized by algebraic sturctures,MC,Dr Ravinder Singh,-,NBHM (DAE),23-May,26-May,237500,Ongoing
60,"Study on the design, manufacture, testing and performance requirements of copper alloy gate, globe and check valves for waterworks purposes",ME,"Dr. Raman bedi,",Dr. Saurabh Kango and Dr. Nitin Sharma,BIS,24-Oct,25-Apr,500000,Ongoing (Extension yet to be approveed by funding agency)
61,Experimental and Numerical investigation of the flame deflector for conducting ground testing oif cluster nozzle semi cryo stages,ME,Dr. Dushyant Singh,Dr. Sourabh Kango and Dr. Ashok Kumar,ISRO and NIT-Kurukshetra,24-Jul,26-Jul,3192920,Ongoing
62,"Development, Characterization and Analysis of Hybrid Chemomechanical Magnetorheological Abrasive Finishing for Biomedical Applications",ME,Dr. Harpreet Singh,-,DST-SERB-CRG,23-Jul,26-Jul,2868687,Ongoing
63,Design and Development of the hybrid Microwave Assisted Casting Process for Stealth Applications,ME,Dr. Harpreet Singh,-,SPARC,23-Jul,26-Jul,3743650,Ongoing
64,Design and Development of an electricity hybrid double sided incremental forming machine for efficient production of customized biomedical implants with improved surface finish and geometrical accuracy,ME,Dr. Parnika Shrivastava,-,SERB-DST,23-Jul,26-Jul,4356264,Ongoing
65,Novel Cooling techniques for substrate exposed to very high temperature,ME,Dr. Dushyant Singh,-,SERB-DST-CRG,22-Feb,25-Aug,4715832,Ongoing
66,"Investigation of magnetic structure of magnetic selenites M2Se2O7 (M: Fe, Mn, Co, Ni, etc.)",Physics,Dr Kiran Singh,,UGC DAE Consortium for Scientific Research Indore,25-Apr,28-Mar,,"Ongoing(Nil, only experimental facilities will be provided free of cost)"
67,To Strengthen the research facilities in the department,Physcis,Dr. Kiran Singh,,FIST,24-Dec,29-Dec,22000000,Ongoing
68,Exploring the EoS and Structure of Anisotropic compact stars with ? resonance matter,Physics,Dr. Arvind Kumar,,SERB-ANRF (CRG),24-Oct,27-Oct,2452692,Ongoing
69,Probing the leading twist internal multidimensional Strucutre of pions and kaons - Anusandhan national Research Foundation (ANRF),Physics,Dr. Harleen Dahiya,-,SERB-POWER fellowship,24-Jun,27-Jun,3810000,Ongoing
70,"Coherent radiation sources from nonlinear interaction of laser with clustered nano plasma ""Teachers Associateship for Research Excellence (TARE)",Physics,Dr. Arvinder Singh (Mentor),"Dr. Shivani Vij, DAV Institute of Engineering and Technology, kabir nagar, jalandhar",ANRF-SERB-TARE,24-May,27-May,1830000,Ongoing
71,Structure and Dynamics of Strongly Correlated Quantum Fluids,Physics,Dr. Vinod Ashokan,,SERB DST,24-Mar,27-Mar,3354692,Ongoing
72,Green-synthesized nanoparticles dispersed liquid crystals for display applications,Physics,"Dr. Supreet Kaur, Amity University, Gurugram",Dr. Praveen Malik (NITJ),DST-SERB,23-Oct,26-Oct,2418720,Ongoing
73,Preparation And Studies Of Energy Efficient Semiconducting Quantum Dots-Liquid Crystal Composites For Next Generation Display Devices,Physics,Dr. Praveen Malik,-,DST-SERB-CRG,23-May,26-May,3641264,Ongoing
74,Investigation of bipolar conductivity in strontium zincates,Physics,Dr. Abhinav Pratap Singh,,UGC-DAE Consortium for Scientific Research,2023,2026,135000,Ongoing
75,Photo-Dielectric Effect in Liquid Crystals (PDELC),Physics,"Dr. Ravi Shukla (DIT, Dehradun)","Dr. Kiran Singh, NIT Jalandhar","UGC-DAE Consortium for Scientific Research, Indore",2023,2026,1500000,Ongoing
76,"Investigation on the effect of substitution on the magnetic structure and spin-lattice coupling in A4B2O9 family (A=Mn, Co, Ni, Fe abd B=Nb and Ta)",Physics,Dr. Kiran Singh,-,"UGC-DAE Consortium for Scientific Research, Indore",22-Jun,25-Jun,135000,Ongoing
77,"Investigating the effect of different substitutions on the magnetoelectric and spin-lattice coupling in alpha Mn2O3and A4B2O9(A=Ni,Co,Mn,Fe and B=Nb and Ta)",Physics,Dr. Kiran Singh,-,DST-SERB-CRG,22-Mar,25-Mar,4433264,Ongoing (Extension yet to be approveed by funding agency)
78,Development and manufacture of Ultra High Molecular Weight Polyethylene (UHMWPE) nano-fabrics and its composite for reusable respiratory masks,TT,Prof. A Mukhopadhyay,Dr. Palaniswamy N.K. and Dr. N. Gobi,"NTTM, Ministry of Textile",23-Jun,25-Jun,5500000,Ongoing
79,Runoff erosion control using jute and coir biaxial stitch bonded nonwoven geotextiles,TT,Prof. Vinay Midha,Prof. A Mukhopadhyay,"NTTM, Ministry of Textile",23-Oct,25-Oct,21578000,Ongoing
80,Development of cost effective ballistic and stab resistance soft body armour by using different high performance materials,TT,Dr. Mukesh Bajya,"Dr. Lalit Jajpura, Dr. Z. B. Kamble & Dr. Anilkumar Lalchand Yadav","NTTM, Ministry of Textile",23-Oct,25-Oct,18845680,Ongoing
81,Solution Blow Spinning (SBS) of micro/nanofibre fabrics for air filtration: A potential and scalable technique alternative to Electro spinning,TT,Dr. Palaniswamy NK,"Dr. N Gobi, Dr. Nikhil, Dr. Satyender Singh, Dr. Umashankar and Dr. Devasena","NTTM, Ministry of Textile",23-Oct,26-Oct,17850000,Ongoing
82,Dr B R Ambedkar National Institute of Technology Jalandharÿ for textiles technology/ fibre science,TT,Dr. Vinay Midha,-,"NTTM, Ministry of Textile",23-Nov,25-Nov,100000000,Ongoing
83,Development of open wave geosmashes using recycled wool for runoff erosion control,TT,Dr. Vinay Midha,Dr. A mukhopadhyay,Punjab State Council for Science and technology,2023,2025,500000,Ongoing
84,Biopolymeric porous carriers through assembly of emulsion templating and microfluids for controlled delivery of drugs and therapeutics,Textile,Dr. AnilKumar Lalchand Yadav,-,SERB-DST,24-Jan,26-Jan,2467090,Ongoing
85,Design and development of 3-dimentaional textile structures manufacturing system with novelÿ shedding mechanism and multiple weft insertions,TT,Dr. Zunjarrao B Kamble,-,SERB,24-Feb,26-Feb,2681844,Ongoing
86,Development of non-woven composite with metal-organic frameworks (MOFs) for efficient automotive cabin air filtration,TT,Dr. A. Mukhopadhyay,-,"NTTM, Ministry of Textile",24-Feb,26-Aug,10000000,Ongoing
87,Design And Manufacturing Of Advanced And Multifunctional Textile Structural Composite Materials Using Textile Waste,TT,Dr Zunjarrao B Kamble,Dr Lalit Jajpura,"NTTM, Ministry of Textile",24-Apr,25-Dec,10590632,Ongoing
88,Indigenously Developed Hybrid Nanocomposite Gel-spun and Electrospun based Fibers Made of Carbon Nanotubes (CNT) Filler Added Ultra High Molecular Weight Polyethylene (UHMWPE) for High ? Velocity Fragmentation and Bullet Impacts,TT,"Dr. Jack J Kenned,NIT Puducherry","Dr. Mukesh Bajya NITJ,Dr. N M Sivaram NIT Puducherry","Armament Research Board (ARMREB), DRDO, Govt. of India",24-Jul,27-Jul,15193891 (68.8 Lac for NITJ),Ongoing
89,Study of Constructional particulars and performance requirements for scoured cotton khadi Mazri,TT,Dr Lalit Jajpura,Dr Z B Kamble & Dr M Bajya,Bureau of Indian Standards (BIS),Dec-24,25-Aug,751000,Ongoing
